DateTime,AddedIPs,RemovedIPs
1536682502,2,3
1536686650,5,4
1536689702,2,6
1536690488,256,256
1536693302,3,2
1536696903,5,5
1536700503,9,6
1536704109,6,4
1536707766,4,5
1536711304,24,1
1536712815,256,256
1536714903,5,4
1536718502,6,2
1536719286,256,256
1536722104,3,21
1536725704,4,7
1536729302,5,8
1536733201,0,7
1536733600,256,256
1536734645,1,0
1536736576,4,3
1536740101,4,4
1536740404,1,0
1536743703,3,3
1536746402,0,1
1536747304,2,5
1536748088,1,1
1536750020,1,1
1536750903,2,3
1536754502,3,3
1536756902,3328,25344
1536758103,4,2
1536759603,1,0
1536761704,2,6
1536762395,1280,1280
1536765363,4,0
1536769206,3,4
1536771131,256,256
1536772505,5,6
1536773047,1,0
1536776103,5,4
1536777004,256,256
1536779705,6,3
1536783078,6,1
1536784202,2,0
1536786903,259,261
1536788404,1,0
1536790325,256,256
1536790504,1,5
1536793244,256,256
1536794165,4,4
1536797673,40,3
1536798011,1,0
1536798902,512,512
1536801848,6,3
1536803102,1,0
1536804002,1,0
1536804904,8,4
1536807619,1,0
1536808503,3,24
1536810302,1,0
1536811445,1,0
1536812103,5,9
1536815703,6,4
1536816602,1,0
1536817205,1,0
1536819124,256,256
1536819303,2,10
1536823204,3,8
1536826368,12,4
1536828302,1,0
1536830134,6,5
1536833704,3,3
1536834621,1,0
1536837151,4,6
1536840978,5,2
1536843651,1024,44032
1536844371,6,4
1536848644,1,4
1536850566,4,0
1536851704,6,3
1536852484,768,768
1536854415,1,0
1536855304,7,9
1536858244,9,0
1536858904,6,3
1536862084,3,0
1536862503,2,4
1536863405,256,256
1536865924,1,0
1536866103,2,2
1536869765,1,4
1536873177,2,6
1536876902,10,5
1536877806,256,256
1536880374,5,4
1536882002,1,0
1536884104,8,3
1536885602,256,256
1536887707,17,4
1536889207,1,0
1536891148,5,5
1536894964,5,15
1536898809,4,20
1536899701,256,256
1536901237,256,256
1536901969,5,5
1536905703,6,5
1536909466,5,7
1536912903,7,6
1536916503,3,6
1536917409,0,1
1536919249,256,256
1536920166,5,4
1536924010,2,4
1536927305,4,3
1536928090,256,256
1536930030,2049,31744
1536930903,4,2
1536931928,769,768
1536933845,1,0
1536934504,3,2
1536938104,0,5
1536938867,256,256
1536939849,1,0
1536941771,2,1
1536943802,0,1
1536944102,1,0
1536945137,2,4
1536948903,4,3
1536952504,3,7
1536954304,0,2
1536956102,6,4
1536960002,5,4
1536963303,6,2
1536964319,256,256
1536966904,1,0
1536967447,2,2
1536970502,6,1
1536971762,256,256
1536974103,13,2
1536977702,3,3
1536981303,5,8
1536985502,4,12
1536986102,1,0
1536987302,0,1
1536987902,256,256
1536988569,0,2
1536992102,1,3
1536995702,4,5
1536999304,3,6
1537002902,2,2
1537003849,1,1
1537004402,0,1
1537004702,2,1
1537006505,6,3
1537010102,1,3
1537013804,4,5
1537016102,1280,29952
1537017303,1,8
1537020051,2,0
1537020768,4,1
1537021802,0,1
1537022402,1,0
1537024503,2,2
1537025531,1,0
1537028104,6,0
1537031702,2,4
1537035364,4,4
1537039207,4,2
1537042345,3,6
1537046190,6,2
1537049703,3,6
1537053302,4,5
1537056912,11,2
1537060503,27,8
1537064166,13,4
1537067533,3,9
1537071304,1,35
1537074905,4,4
1537078503,4,10
1537082103,1,2
1537085703,5,6
1537089303,4,3
1537093208,4,3
1537096504,2,4
1537100104,2,5
1537102821,3328,3328
1537103703,5,6
1537106648,0,1
1537107302,4,4
1537110903,5,6
1537111803,1024,1024
1537114504,4,12
1537114888,256,256
1537118164,17,2
1537121702,7,5
1537122244,256,256
1537125304,3,1
1537128903,5,2
1537132502,1,6
1537136170,4,5
1537137302,256,256
1537139703,3,4
1537143305,22,4
1537144089,256,256
1537146906,3,3
1537150310,11,3
1537154147,12,16
1537157764,6,7
1537161610,6,3
1537164903,5,7
1537168502,5,11
1537172102,8,5
1537175701,6,6
1537179304,5,7
1537183202,7,4
1537186573,7,5
1537189244,2816,0
1537190407,7,9
1537193705,6,6
1537194902,1024,1024
1537197968,3,6
1537200906,5,6
1537204324,1,0
1537204504,6,5
1537206602,0,1
1537208164,7,8
1537210087,1,0
1537210828,1,0
1537211510,4,4
1537215303,7,6
1537216202,256,256
1537218904,4,10
1537222502,6,4
1537223528,257,256
1537225444,1,0
1537226102,3,4
1537229704,13,5
1537233365,18,5
1537237204,9,4
1537240504,10,13
1537244102,5,14
1537247703,7,4
1537251104,5,5
1537254908,3,13
1537258503,8,2
1537260247,1,0
1537262165,8,6
1537266004,6,4
1537269308,4,8
1537272016,1,0
1537272903,6,6
1537273928,256,256
1537275848,0,24832
1537276502,6,11
1537278005,1,0
1537279925,1,0
1537280402,5,8
1537283768,10,4
1537288328,260,260
1537290903,3,6
1537294505,6,3
1537296902,1,0
1537298164,3,3
1537302006,3,1
1537305107,7,6
1537308902,5,5
1537312503,260,260
1537313528,256,256
1537316147,258,260
1537319703,15,7
1537323602,7,3
1537326963,8,3
1537330334,3,22
1537333235,1,0
1537333959,5,8
1537337703,3,12
1537340646,2,0
1537341302,8,7
1537344902,3,2
1537348326,1,0
1537348501,6,4
1537352168,3,7
1537356003,7,4
1537359304,4,3
1537362011,3328,33024
1537362902,6,5
1537365616,1,0
1537366518,5,6
1537369450,1,0
1537370102,4,8
1537373526,2,0
1537373544,9,2
1537376133,256,256
1537377364,2,5
1537379527,1,0
1537380781,4,4
1537381444,1,0
1537383364,1,0
1537384507,3,6
1537387447,1,0
1537387943,4,6
1537391703,3,2
1537395602,3,3
1537397047,256,256
1537398967,3,3
1537402503,12,8
1537404002,256,256
1537406104,14,3
1537409704,9,2
1537410488,256,256
1537413305,8,10
1537417502,4,8
1537418705,0,1
1537420506,7,9
1537424106,6,11
1537427776,7,3
1537431340,2,8
1537434904,5,5
1537438504,6,4
1537442102,3,6
1537445704,4,4
1537448404,5632,56320
1537449304,4,2
1537452969,5,5
1537453803,1024,1024
1537456349,5,4
1537460102,4,4
1537461007,256,256
1537463704,2,2
1537467304,260,262
1537470903,4,5
1537474503,4,2
1537475402,256,256
1537477928,1,0
1537478102,3,2
1537479846,1,0
1537480556,256,256
1537481764,5,4
1537482627,256,256
1537485618,3,6
1537488909,32,7
1537489443,1,0
1537492501,12,4
1537496111,5,5
1537499702,4,21
1537503363,5,105
1537507204,7,5
1537509128,96,0
1537510504,7,4
1537511431,1,0
1537512970,1,0
1537514103,3,6
1537516810,1,0
1537517712,3,4
1537520644,1,0
1537521304,4,8
1537524902,7,8
1537528565,3,4
1537531956,3,4
1537534502,0,48896
1537535706,4,3
1537539305,2,5
1537542907,7,2
1537543926,768,768
1537546503,9,5
1537549940,4,2
1537551024,0,1
1537553402,256,256
1537553762,2,6
1537555682,256,256
1537556447,256,256
1537557304,2,4
1537560903,5,4
1537561529,256,256
1537564502,2,3
1537565283,256,256
1537568102,4,6
1537568531,256,256
1537571703,7,5
1537574404,1,0
1537575304,9,5
1537576080,256,256
1537578962,28,3
1537582809,4,3
1537586103,2,16
1537589706,4,24
1537593303,6,9
1537594327,1,1
1537595104,1,1
1537596904,10,3
1537600504,5,3
1537602304,1,0
1537603927,1,0
1537604104,5,3
1537607764,6,5
1537611303,3,3
1537614903,4,3
1537618502,3,8
1537621222,256,39424
1537622104,0,3
1537625565,5,6
1537629303,2,4
1537632904,4,2
1537634101,1024,1024
1537636563,10,3
1537639902,1,7
1537643703,1,4
1537647304,5,8
1537647749,512,512
1537650904,8,1
1537654503,6,4
1537655102,256,256
1537658104,2,4
1537661915,22,6
1537663860,256,256
1537665602,4,5
1537669212,7,6
1537671123,1,0
1537672373,4,17
1537676102,0,5
1537679704,4,2
1537683151,2,0
1537686903,4,2
1537687803,0,1
1537690502,3,4
1537694164,3,4
1537698008,2,1
1537701303,3,8
1537704902,1,0
1537707625,1024,14592
1537708503,4,3
1537712104,2,1
1537715575,3,3
1537716605,768,768
1537719304,4,1
1537722967,5,5
1537726310,4,10
1537727248,256,256
1537728723,1,0
1537729936,1,2
1537733703,5,1
1537739103,8,5
1537740485,1,0
1537741805,3,4
1537744335,1,1
1537748856,256,256
1537750086,20,2
1537752402,5,1
1537755302,6,2
1537758903,2,22
1537762503,5,1
1537766103,4,9
1537769704,0,4
1537773520,3,2
1537774502,0,1
1537775102,1,0
1537776968,4,3
1537779301,0,1
1537780505,1,3
1537780804,1,0
1537784103,3,3
1537787702,5,3
1537790427,1,0
1537791302,6,5
1537794249,2048,0
1537794902,9,4
1537798503,1,1
1537799409,768,768
1537801925,256,256
1537802104,1,3
1537803846,2,0
1537805777,2,4
1537809304,4,7
1537811763,5,0
1537813201,3,2
1537813933,256,256
1537816503,3,1
1537819688,1,0
1537820102,1,6
1537823538,1,0
1537823703,1,4
1537827364,3,7
1537828240,256,256
1537831206,7,0
1537834504,7,3
1537838103,21,1
1537841704,4,2
1537842727,1,0
1537845303,4,14
1537848902,4,19
1537852783,4,6
1537854246,0,1
1537856177,4,4
1537857002,0,1
1537860012,6,2
1537863306,4,6
1537866911,7,5
1537870502,6,8
